Set,CardID,Name,Identifier,Color,Type,Attribute,Ability,Cost,Vibe,Rarity,FeaturingPudgy,IllusName,imageURL
Eth,1,Contemplation Penguin,ContemplationPenguin,Red,Character,Penguin,,1,2,Common,6715,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ContemplationPenguin.png
Eth,2,Bamboo Penguin,BambooPenguin,Red,Character,Penguin,,2,4,Common,6106,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BambooPenguin.png
Eth,3,Carnival Penguin,CarnivalPenguin,Red,Character,Penguin,"Whenever you play your third Action this Cycle,
choose a Character with vibe 6 or less.
Ice that Character.",7,10,Common,7707,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CarnivalPenguin.png
Eth,4,Chef Penguin,ChefPenguin,Red,Character,Penguin,"Whenever you play a Red Action, you get a Fishsicle.
(A Fishsicle produces one _T_, then goes away).",6,2,Rare,5181,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChefPenguin.png
Eth,5,"Chub, Who Lives for Action",ChubWhoLivesforAction,Red,Character,Penguin,"Whenever you play a Red Action,
put 2 vibe counters on this Character.",8,6,Rare,6162,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChubWhoLivesforAction.png
Eth,6,Chubopolis Unleashed,ChubopolisUnleashed,Red,Character,Penguin,"Whenever you play a Red Action, put 2 vibe counters
on this Character. When this Character is iced from play,
draw cards equal to half the number of vibe counters
 on this Character rounded up.",10,10,Mythic,7128,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChubopolisUnleashed.png
Eth,7,Insomniac Penguin,InsomniacPenguin,Red,Character,Penguin,"Whenever you play an Action, unflop this Character.",5,2,Uncommon,1007,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/InsomniacPenguin.png
Eth,8,Juggling Penguin,JugglingPenguin,Red,Character,Penguin,"Enters flopped.
This Character doesn't unflop at the Unfloppening.
At the end of Action Time, if you played an Action,
unflop this Character.",2,5,Common,8752,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/JugglingPenguin.png
Eth,9,Keyturning Penguin,KeyturningPenguin,Red,Character,Penguin,"When this Character enters the huddle,
look at the top card of your deck.
You may put it on the bottom of your deck.",2,1,Common,7565,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/KeyturningPenguin.png
Eth,10,Mukbang Penguin,MukbangPenguin,Red,Character,Penguin,"When this Character enters the huddle,
the next time you would draw a card, skip it.",3,9,Uncommon,3531,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/MukbangPenguin.png
Eth,11,Peace Out Penguin,PeaceOutPenguin,Red,Character,Penguin,"This Character can only [ACT]
if you've played a Red Action this Cycle.
[ACT] _F_: Choose up to two Characters with
total vibe 10 or less. Ice those Characters
and this Character.",3,4,Uncommon,941,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PeaceOutPenguin.png
Eth,12,Popcorn Penguin,PopcornPenguin,Red,Character,Penguin,"At the start of Action Time,
ice the Character in play that's vibing the least.
If there's a tie, you pick.",4,2,Rare,142,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PopcornPenguin.png
Eth,13,Red Mega Penguin,RedMegaPenguin,Red,Character,Mega Penguin,"As an additional cost to play this Character,
ice a Character in your huddle. Whenever an Action
is played that chooses this Character, copy that Action.
(You make new choices for the copy).",5,6,Mythic,2238,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RedMegaPenguin.png
Eth,14,Red Wizard Penguin,RedWizardPenguin,Red,Character,Wizard Penguin,Enters flopped.,2,2,Uncommon,4112,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RedWizardPenguin.png
Eth,15,Ribbon-Dancing Penguin,RibbonDancingPenguin,Red,Character,Penguin,"Whenever you play a Red Action,
this Character can produce _R__R_ for the rest of this Cycle.",3,4,Common,4002,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RibbonDancingPenguin.png
Eth,16,Risk-Taking Penguin,RiskTakingPenguin,Red,Character,Penguin,"When this Character enters the huddle,
choose a Character with vibe 6 or less and flip a coin.
If heads, return the chosen Character
to its owner's hand.",4,6,Common,6842,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RiskTakingPenguin.png
